                               Installed Skills                                
┌───────────────────┬───────────────────┬────────┬───────┬────────────────────┐
│ hermes-luma-memo… │ development       │ local  │ local │ enabled            │
│ hermes-networkch… │ development       │ local  │ local │ enabled            │
│ hermes-persisten… │ development       │ local  │ local │ enabled            │
│ hermes-profile-s… │ development       │ local  │ local │ enabled            │
│ hermes-quickstart │ development       │ local  │ local │ enabled            │
│ hermes-runtime-o… │ development       │ local  │ local │ enabled            │
│ hook-health-check │ development       │ local  │ local │ enabled            │
│ hooks-bundle      │ development       │ local  │ local │ enabled            │
│ how-paypal-works  │ development       │ local  │ local │ enabled            │
│ incident-postmor… │ development       │ local  │ local │ enabled            │
│ instruction-quic… │ development       │ local  │ local │ enabled            │
│ inventory-agents  │ development       │ local  │ local │ enabled            │
│ inventory-prompts │ development       │ local  │ local │ enabled            │
│ issue-fields-mig… │ development       │ local  │ local │ enabled            │
│ java-add-graalvm… │ development       │ local  │ local │ enabled            │
│ java-docs         │ development       │ local  │ local │ enabled            │
│ java-helidon      │ development       │ local  │ local │ enabled            │
│ java-junit        │ development       │ local  │ local │ enabled            │
│ java-mcp-server-… │ development       │ local  │ local │ enabled            │
│ java-refactoring… │ development       │ local  │ local │ enabled            │
│ java-refactoring… │ development       │ local  │ local │ enabled            │
│ java-springboot   │ development       │ local  │ local │ enabled            │
│ javascript-types… │ development       │ local  │ local │ enabled            │
│ javax-to-jakarta… │ development       │ local  │ local │ enabled            │
│ joyride           │ development       │ local  │ local │ enabled            │
│ kanban-bundle     │ development       │ local  │ local │ enabled            │
│ kotlin-mcp-serve… │ development       │ local  │ local │ enabled            │
│ kotlin-springboot │ development       │ local  │ local │ enabled            │
│ lcs               │ development       │ local  │ local │ enabled            │
│ list-cli-tools    │ development       │ local  │ local │ enabled            │
│ litprog-skill     │ development       │ local  │ local │ enabled            │
│ make-repo-contri… │ development       │ local  │ local │ enabled            │
│ make-skill-templ… │ development       │ local  │ local │ enabled            │
│ markstream-insta… │ development       │ local  │ local │ enabled            │
│ memory-bundle     │ development       │ local  │ local │ enabled            │
│ memory-precompact │ development       │ local  │ local │ enabled            │
│ memory-repair     │ development       │ local  │ local │ enabled            │
│ mentoring-juniors │ development       │ local  │ local │ enabled            │
│ merge-config      │ development       │ local  │ local │ enabled            │
│ merge-skill       │ development       │ local  │ local │ enabled            │
│ microsoft-agent-… │ development       │ local  │ local │ enabled            │
│ microsoft-code-r… │ development       │ local  │ local │ enabled            │
│ microsoft-docs    │ development       │ local  │ local │ enabled            │
│ microsoft-skill-… │ development       │ local  │ local │ enabled            │
│ migrating-oracle… │ development       │ local  │ local │ enabled            │
│ minecraft-plugin… │ development       │ local  │ local │ enabled            │
│ model-discovery   │ development       │ local  │ local │ enabled            │
│ multi-file-chang… │ development       │ local  │ local │ enabled            │
│ multi-file-crud-… │ development       │ local  │ local │ enabled            │
│ mvvm-toolkit      │ development       │ local  │ local │ enabled            │
│ mvvm-toolkit-di   │ development       │ local  │ local │ enabled            │
│ mvvm-toolkit-mes… │ development       │ local  │ local │ enabled            │
│ mypy              │ development       │ local  │ local │ enabled            │
│ namecheap         │ development       │ local  │ local │ enabled            │
│ next-intl-add-la… │ development       │ local  │ local │ enabled            │
│ no-git-delete     │ development       │ local  │ local │ enabled            │
│ normalize-frontm… │ development       │ local  │ local │ enabled            │
│ normalize-lf      │ development       │ local  │ local │ enabled            │
│ normalize-plan-f… │ development       │ local  │ local │ enabled            │
│ normalize-plans   │ development       │ local  │ local │ enabled            │
│ normalize-prompt… │ development       │ local  │ local │ enabled            │
│ omo-doctor        │ development       │ local  │ local │ enabled            │
│ onboard-context-… │ development       │ local  │ local │ enabled            │
│ openapi-to-appli… │ development       │ local  │ local │ enabled            │
│ optimize-simplic… │ development       │ local  │ local │ enabled            │
│ overview-bundle   │ development       │ local  │ local │ enabled            │
│ package           │ development       │ local  │ local │ enabled            │
│ package-lock      │ development       │ local  │ local │ enabled            │
│ patch-all-fail-s… │ development       │ local  │ local │ enabled            │
│ patch-fail-struc… │ development       │ local  │ local │ enabled            │
│ paypal-getting-s… │ development       │ local  │ local │ enabled            │
│ paystack-dev-docs │ development       │ local  │ local │ enabled            │
│ paystack-getting… │ development       │ local  │ local │ enabled            │
│ pester-should-mi… │ development       │ local  │ local │ enabled            │
│ phase1-inventory  │ development       │ local  │ local │ enabled            │
│ phase2-analysis   │ development       │ local  │ local │ enabled            │
│ phase3-changelog  │ development       │ local  │ local │ enabled            │
│ phase3-gate-check │ development       │ local  │ local │ enabled            │
│ phase4-reconstru… │ development       │ local  │ local │ enabled            │
│ phase4-reconstru… │ development       │ local  │ local │ enabled            │
│ phase4-verify     │ development       │ local  │ local │ enabled            │
│ phase5-postapply  │ development       │ local  │ local │ enabled            │
│ php-mcp-server-g… │ development       │ local  │ local │ enabled            │
│ planning-oracle-… │ development       │ local  │ local │ enabled            │
│ plugin-health-ch… │ development       │ local  │ local │ enabled            │
│ postgresql-optim… │ development       │ local  │ local │ enabled            │
│ prime-factors     │ development       │ local  │ local │ enabled            │
│ profile-refactor… │ development       │ local  │ local │ enabled            │
│ project           │ development       │ local  │ local │ enabled            │
│ project-consolid… │ development       │ local  │ local │ enabled            │
│ project-workflow… │ development       │ local  │ local │ enabled            │
│ prompt-audit-all  │ development       │ local  │ local │ enabled            │
│ prompt-audit-all… │ development       │ local  │ local │ enabled            │
│ prompt-batch-aud… │ development       │ local  │ local │ enabled            │
│ prompt-builder    │ development       │ local  │ local │ enabled            │
│ prompt-engineeri… │ development       │ local  │ local │ enabled            │
│ prompt-fix-metad… │ development       │ local  │ local │ enabled            │
│ prompt-inventory  │ development       │ local  │ local │ enabled            │
│ prompt-library-c… │ development       │ local  │ local │ enabled            │
│ prompt-library-d… │ development       │ local  │ local │ enabled            │
│ prompt-optimizer  │ development       │ local  │ local │ enabled            │
│ prompt-repair-fr… │ development       │ local  │ local │ enabled            │
│ provider-executor │ development       │ local  │ local │ enabled            │
│ publish-to-pages  │ development       │ local  │ local │ enabled            │
│ purge-dead-keys   │ development       │ local  │ local │ enabled            │
│ pytest-coverage   │ development       │ local  │ local │ enabled            │
│ python-azure-iot… │ development       │ local  │ local │ enabled            │
│ python-concurren… │ development       │ local  │ local │ enabled            │
│ python-mcp-serve… │ development       │ local  │ local │ enabled            │
│ python-projects   │ development       │ local  │ local │ enabled            │
│ python-pypi-pack… │ development       │ local  │ local │ enabled            │
│ python-quality-m… │ development       │ local  │ local │ enabled            │
│ qdrant-deploymen… │ development       │ local  │ local │ enabled            │
